Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,relevant,highest
"Mirror Mockery",1,56364,Rare,DTK,62/264,No,0.05,2.90
"Negate",1,55940,Common,DTK,65/264,No,0.04,1.01
"Atarka Pummeler",1,56084,Uncommon,DTK,129/264,No,0.01,17.28
"Marsh Hulk",1,56052,Common,DTK,109/264,No,0.01,14.05
"Rakshasa Gravecaller",1,56070,Uncommon,DTK,114/264,No,0.01,1.60
"Mind Rot",1,56278,Common,DTK,110/264,No,0.01,13.52
"Sidisi, Undead Vizier",1,56038,Rare,DTK,120/264,No,0.37,1.60
"Shorecrasher Elemental",1,56224,Mythic Rare,DTK,73/264,No,0.27,40.10
"Silumgar Sorcerer",1,55902,Uncommon,DTK,76/264,No,0.01,7.23
"Defeat",1,56020,Common,DTK,97/264,No,0.01,0.01
"Wandering Tombshell",1,56246,Common,DTK,127/264,No,0.01,3.09
"Dutiful Attendant",1,56186,Common,DTK,99/264,No,0.01,0.12
"Death Wind",1,55926,Uncommon,DTK,95/264,No,0.01,5.80
"Reckless Imp",1,55920,Common,DTK,115/264,No,0.01,0.90
"Gravepurge",1,56078,Common,DTK,104/264,No,0.01,0.01
"Acid-Spewer Dragon",1,56142,Uncommon,DTK,86/264,No,0.01,44.56
"Marang River Skeleton",1,56132,Uncommon,DTK,108/264,No,0.01,12.46
"Butcher's Glee",1,56000,Common,DTK,90/264,No,0.01,2.02
"Impact Tremors",1,56250,Common,DTK,140/264,No,0.03,0.05
"Descent of the Dragons",1,56394,Mythic Rare,DTK,133/264,No,1.98,131.39
"Berserkers' Onslaught",1,56294,Rare,DTK,130/264,No,0.01,64.17
"Draconic Roar",1,56022,Uncommon,DTK,134/264,No,0.06,0.35
"Atarka Efreet",1,56346,Common,DTK,128/264,No,0.01,17.28
"Mystic Meditation",1,56088,Common,DTK,64/264,No,0.01,6.95
"Blood-Chin Fanatic",1,55958,Rare,DTK,88/264,No,0.02,27.89
"Pitiless Horde",1,56034,Rare,DTK,112/264,No,0.07,1.68
"Silumgar Butcher",1,56384,Common,DTK,122/264,No,0.01,7.23
"Ire Shaman",1,56102,Rare,DTK,141/264,No,0.02,17.54
"Seismic Rupture",1,55984,Uncommon,DTK,156/264,No,0.02,0.99
"Risen Executioner",1,56420,Mythic Rare,DTK,116/264,No,2.08,2.08
"Living Lore",1,56104,Rare,DTK,61/264,No,0.02,34.90
"Ojutai's Summons",1,56168,Common,DTK,68/264,No,0.02,8.53
"Dragon-Scarred Bear",1,56308,Common,DTK,183/264,No,0.01,44.56
"Qarsi Sadist",1,56400,Common,DTK,113/264,No,0.01,0.08
"Deadly Wanderings",1,56318,Uncommon,DTK,94/264,No,0.01,0.66
"Corpseweft",1,56368,Rare,DTK,92/264,No,0.01,0.01
"Kolaghan Skirmisher",1,56152,Common,DTK,107/264,No,0.01,10.67
"Minister of Pain",1,56338,Uncommon,DTK,111/264,No,0.01,1.24
"Blood-Chin Rager",1,56354,Uncommon,DTK,89/264,No,0.01,27.89
"Silumgar Spell-Eater",1,56358,Uncommon,DTK,77/264,No,0.01,88.82
"Monastery Loremaster",1,56124,Common,DTK,63/264,No,0.01,14.44
"Sarkhan's Rage",1,56266,Common,DTK,153/264,No,0.01,1.77
"Hand of Silumgar",1,56194,Common,DTK,105/264,No,0.01,88.82
"Sibsig Icebreakers",1,56072,Common,DTK,119/264,No,0.01,0.01
"Icefall Regent",1,56064,Rare,DTK,58/264,No,0.31,1.22
"Encase in Ice",1,55948,Uncommon,DTK,54/264,No,0.01,0.01
"Elusive Spellfist",1,56160,Common,DTK,53/264,No,0.01,0.02
"Dance of the Skywise",1,56378,Uncommon,DTK,50/264,No,0.01,6.77
"Ojutai's Breath",1,56162,Common,DTK,67/264,No,0.01,8.53
"Void Squall",1,56332,Uncommon,DTK,83/264,No,0.01,15.60
"Sight Beyond Sight",1,56326,Uncommon,DTK,75/264,No,0.01,200.84
"Updraft Elemental",1,56174,Common,DTK,82/264,No,0.01,40.10
"Ambuscade Shaman",1,56222,Uncommon,DTK,87/264,No,0.01,17.54
"Youthful Scholar",1,56236,Uncommon,DTK,84/264,No,0.01,0.02
"Skywise Teachings",1,56170,Uncommon,DTK,79/264,No,0.01,6.77
